Resolucao,Iteracoes,Kernel,BlockSize,Tempo,Eficiencia_Ocupancia,T_Serial,Speedup
512,100,3,8,0.002159333333333333,86.24666666666667,0.17340625,80.30545693115161
512,100,3,16,0.0020833333333333333,86.49666666666667,0.17340625,83.23500000000001
512,100,3,32,0.0025946666666666666,61.05666666666667,0.17340625,66.8318024152107
512,100,5,8,0.006037000000000001,90.52,0.42865966666666666,71.00541107614156
512,100,5,16,0.005799666666666666,88.69666666666666,0.42865966666666666,73.9110868440715
512,100,5,32,0.0061593333333333335,63.050000000000004,0.42865966666666666,69.5951401666847
512,500,3,8,0.010493333333333334,86.21,0.865333,82.46502541296061
512,500,3,16,0.010553333333333333,86.24666666666667,0.865333,81.99617814276691
512,500,3,32,0.012753666666666668,61.02,0.865333,67.84974255769582
512,500,5,8,0.027176333333333334,90.46666666666665,2.138096,78.67492548663665
512,500,5,16,0.026973333333333332,88.71999999999998,2.138096,79.26702916460702
512,500,5,32,0.03148633333333333,63.07666666666666,2.138096,67.90552514847712
512,1000,3,8,0.021297333333333335,86.01333333333332,1.72665325,81.07368293370061
512,1000,3,16,0.02149266666666667,86.16666666666667,1.72665325,80.33685520642699
512,1000,3,32,0.026529666666666663,61.04,1.72665325,65.08386523263266
512,1000,5,8,0.05361133333333334,90.5,4.193945666666667,78.22871407786911
512,1000,5,16,0.053991333333333336,88.69,4.193945666666667,77.67812735377284
512,1000,5,32,0.062489333333333334,63.05666666666667,4.193945666666667,67.11458488915441
1024,100,3,8,0.007324333333333333,90.36666666666667,0.7001345,95.59020161106814
1024,100,3,16,0.007292333333333334,87.12333333333333,0.7001345,96.0096676875257
1024,100,3,32,0.009031333333333334,60.47,0.7001345,77.52282793238355
1024,100,5,8,0.018489666666666665,94.16666666666667,1.6967366666666666,91.76675260055167
1024,100,5,16,0.020676666666666666,91.14,1.6967366666666666,82.06045461873286
1024,100,5,32,0.021722333333333333,63.06333333333333,1.6967366666666666,78.11023984532048
1024,500,3,8,0.03714733333333333,89.73,3.47832,93.6357926096086
1024,500,3,16,0.03716833333333333,87.16666666666667,3.47832,93.58288865970137
1024,500,3,32,0.04464866666666667,60.34666666666667,3.47832,77.90423006286115
1024,500,5,8,0.09169766666666668,94.06,8.505361,92.75438851588372
1024,500,5,16,0.078891,91.21,8.505361,107.81155011344767
1024,500,5,32,0.08587033333333334,63.080000000000005,8.505361,99.04888766395845
1024,1000,3,8,0.07211166666666667,90.40666666666668,6.891774,95.57086000878267
1024,1000,3,16,0.07398933333333334,87.07333333333334,6.891774,93.14550746053484
1024,1000,3,32,0.07851566666666666,60.473333333333336,6.891774,87.7757814788556
1024,1000,5,8,0.15957133333333332,94.14333333333333,17.044566,106.81471191567408
1024,1000,5,16,0.15805633333333333,91.19333333333333,17.044566,107.8385512338428
1024,1000,5,32,0.171623,63.050000000000004,17.044566,99.31399637577714
2048,100,3,8,0.030465333333333334,88.91000000000001,2.812334,92.31259573723139
2048,100,3,16,0.02961566666666667,82.59666666666668,2.812334,94.96102288203315
2048,100,3,32,0.03796833333333333,58.61666666666667,2.812334,74.07051490276984
2048,100,5,8,0.065961,94.69,6.832845,103.589166325556
2048,100,5,16,0.07370700000000001,91.44,6.832845,92.7027962066018
2048,100,5,32,0.080103,63.120000000000005,6.832845,85.3007378000824
2048,500,3,8,0.144024,89.25,13.97462925,97.02986481419762
2048,500,3,16,0.14748033333333332,82.64,13.97462925,94.75588327031176
2048,500,3,32,0.17305933333333334,58.68,13.97462925,80.75050897765313
2048,500,5,8,0.31784033333333334,94.64333333333333,34.20215166666667,107.60796563473696
2048,500,5,16,0.31355133333333335,91.45333333333333,34.20215166666667,109.0799114233289
2048,500,5,32,0.3415823333333334,63.14666666666667,34.20215166666667,100.12857319904329
2048,1000,3,8,0.288136,88.96666666666665,28.29294925,98.19303818335786
2048,1000,3,16,0.29488033333333336,82.60000000000001,28.29294925,95.94722350648455
2048,1000,3,32,0.33990733333333334,58.71333333333333,28.29294925,83.23724284657975
2048,1000,5,8,0.6326096666666666,94.78000000000002,68.47727666666667,108.24570074543071
2048,1000,5,16,0.6262266666666667,91.44666666666667,68.47727666666667,109.34902697638768
2048,1000,5,32,0.6770776666666666,63.15,68.47727666666667,101.1365165886927
4096,100,3,8,0.114501,83.54,11.2007215,97.82204085553838
4096,100,3,16,0.12208999999999999,77.32,11.2007215,91.74151445654846
4096,100,3,32,0.134534,56.52,11.2007215,83.25569372797955
4096,100,5,8,0.25156033333333333,93.83333333333333,27.363783333333334,108.77622465651051
4096,100,5,16,0.24985933333333332,90.24333333333334,27.363783333333334,109.51675476067868
4096,100,5,32,0.271282,63.14666666666667,27.363783333333334,100.86840753656097
4096,500,3,8,0.5729173333333333,83.63333333333333,55.7835565,97.36754895412487
4096,500,3,16,0.5801693333333333,77.32000000000001,55.7835565,96.15047417190844
4096,500,3,32,0.674032,56.54,55.7835565,82.76099131791963
4096,500,5,8,1.2729056666666667,93.94,136.16982533333334,106.97558263678613
4096,500,5,16,1.2538646666666666,90.26666666666667,136.16982533333334,108.6000977245285
4096,500,5,32,1.352877,63.156666666666666,136.16982533333334,100.65203661037428
4096,1000,3,8,1.143779,83.3,111.16336025,97.18954470225454
4096,1000,3,16,1.1609156666666667,77.42,111.16336025,95.75489714010233
4096,1000,3,32,1.3535453333333332,56.46333333333333,111.16336025,82.12754867710379
4096,1000,5,8,2.5504086666666663,94.11666666666667,272.2451966666667,106.7457150004457
4096,1000,5,16,2.5126453333333334,90.19333333333333,272.2451966666667,108.35002976942229
4096,1000,5,32,2.705541,63.156666666666666,272.2451966666667,100.62504935858176
