Resolucao,Kernel,Iteracoes,BlockSize,Tempo,Occupancy
4096,3,500,16,0.581049,77.44
4096,3,500,16,0.579965,77.48
4096,3,500,32,0.674651,56.58
4096,3,500,32,0.674634,56.56
4096,3,500,32,0.672811,56.48
4096,3,1000,8,1.142297,83.30
4096,3,1000,8,1.144842,83.34
4096,3,1000,8,1.144198,83.26
4096,3,1000,16,1.160299,77.39
4096,3,1000,16,1.160863,77.42
4096,3,1000,16,1.161585,77.45
4096,3,1000,32,1.364374,56.46
4096,3,1000,32,1.348110,56.51
4096,3,1000,32,1.348152,56.42
4096,5,100,8,0.250815,93.97
4096,5,100,8,0.251729,93.74
4096,5,100,8,0.252137,93.79
4096,5,100,16,0.250171,90.37
4096,5,100,16,0.249500,90.11
4096,5,100,16,0.249907,90.25
4096,5,100,32,0.270500,63.15
4096,5,100,32,0.269196,63.13
4096,5,100,32,0.274150,63.16
4096,5,500,8,1.273092,93.81
4096,5,500,8,1.272268,94.13
4096,5,500,8,1.273357,93.88
4096,5,500,16,1.255465,90.36
4096,5,500,16,1.254951,90.19
4096,5,500,16,1.251178,90.25
4096,5,500,32,1.353072,63.16
4096,5,500,32,1.353336,63.15
4096,5,500,32,1.352223,63.16
4096,5,1000,8,2.552045,94.43
4096,5,1000,8,2.541044,93.83
4096,5,1000,8,2.558137,94.09
4096,5,1000,16,2.514874,90.11
4096,5,1000,16,2.511792,90.14
4096,5,1000,16,2.511270,90.33
4096,5,1000,32,2.702711,63.15
4096,5,1000,32,2.706494,63.16
4096,5,1000,32,2.707418,63.16
512,5,100,0,0.440076,0.00
512,5,500,0,2.144573,0.00
512,5,1000,0,4.233160,0.00
1024,5,100,0,1.718208,0.00
1024,5,500,0,8.476363,0.00
1024,5,1000,0,17.248028,0.00
2048,5,100,0,6.799840,0.00
2048,5,500,0,34.292400,0.00
2048,5,1000,0,68.481080,0.00
4096,5,100,0,27.518271,0.00
4096,5,500,0,136.367521,0.00
4096,5,1000,0,272.998328,0.00
512,3,100,0,0.173296,0.00
512,3,500,0,0.864755,0.00
512,3,1000,0,1.735510,0.00
1024,3,100,0,0.699964,0.00
1024,3,500,0,3.466574,0.00
1024,3,1000,0,6.891052,0.00
2048,3,100,0,2.812536,0.00
2048,3,500,0,14.075550,0.00
2048,3,1000,0,27.861631,0.00
4096,3,100,0,11.115513,0.00
4096,3,500,0,55.541186,0.00
4096,3,1000,0,111.493906,0.00
512,3,100,0,0.172679,0.00
512,3,500,0,0.866974,0.00
512,3,1000,0,1.716379,0.00
1024,3,100,0,0.694966,0.00
1024,3,500,0,3.478361,0.00
1024,3,1000,0,6.877234,0.00
2048,3,100,0,2.815391,0.00
2048,3,500,0,13.670699,0.00
2048,3,1000,0,27.803975,0.00
