Resolucao,Kernel,Iteracoes,Threads,Tempo
2048,3,1000,2,6.203787
2048,3,1000,4,3.899633
2048,3,1000,8,3.129334
4096,3,100,1,4.403237
4096,3,100,2,2.498189
4096,3,100,4,1.528674
4096,3,100,8,1.254222
4096,3,500,1,21.262051
4096,3,500,2,12.612739
4096,3,500,4,8.691304
4096,3,500,8,7.035334
4096,3,1000,1,42.652315
4096,3,1000,2,27.540002
4096,3,1000,4,22.437783
4096,3,1000,8,17.228148
