Resolucao,Iteracoes,Processos,Kernel,Tempo,T1,Speedup,Eficiencia
512,100,1,3,0.0929586,0.0929586,1.0,1.0
512,100,1,5,0.22332933333333335,0.22332933333333335,1.0,1.0
512,100,2,3,0.053081199999999995,0.0929586,1.7512527976006573,0.8756263988003287
512,100,2,5,0.140762,0.22332933333333335,1.586574028028398,0.793287014014199
512,100,4,3,0.044058200000000006,0.0929586,2.1099046261535874,0.5274761565383969
512,100,4,5,0.09315219999999999,0.22332933333333335,2.3974670843343837,0.5993667710835959
512,100,8,3,0.051754999999999995,0.0929586,1.7961279103468266,0.22451598879335333
512,100,8,5,0.0875106,0.22332933333333335,2.5520260783646025,0.3190032597955753
512,500,1,3,0.35315240000000003,0.35315240000000003,1.0,1.0
512,500,1,5,1.082867,1.082867,1.0,1.0
512,500,2,3,0.250629,0.35315240000000003,1.4090643939847345,0.7045321969923672
512,500,2,5,0.6594824,1.082867,1.6419952981307764,0.8209976490653882
512,500,4,3,0.162964,0.35315240000000003,2.167057755087013,0.5417644387717533
512,500,4,5,0.41074679999999997,1.082867,2.636337032936106,0.6590842582340265
512,500,8,3,0.1610316,0.35315240000000003,2.193062728060828,0.2741328410076035
512,500,8,5,0.3777678,1.082867,2.8664883560748167,0.3583110445093521
512,1000,1,3,0.6894663999999999,0.6894663999999999,1.0,1.0
512,1000,1,5,2.2356123333333335,2.2356123333333335,1.0,1.0
512,1000,2,3,0.5326122,0.6894663999999999,1.2944998255766578,0.6472499127883289
512,1000,2,5,1.3307541999999999,2.2356123333333335,1.6799588784565427,0.8399794392282713
512,1000,4,3,0.3435446,0.6894663999999999,2.0069196255740884,0.5017299063935221
512,1000,4,5,0.8283562,2.2356123333333335,2.6988538666497983,0.6747134666624496
512,1000,8,3,0.32459699999999997,0.6894663999999999,2.1240689223868365,0.26550861529835457
512,1000,8,5,0.7336178,2.2356123333333335,3.0473801662573257,0.3809225207821657
1024,100,1,3,0.285997,0.285997,1.0,1.0
1024,100,1,5,0.904308,0.904308,1.0,1.0
1024,100,2,3,0.2392754,0.285997,1.1952628644649639,0.5976314322324819
1024,100,2,5,0.5417288,0.904308,1.6693002107327504,0.8346501053663752
1024,100,4,3,0.1415634,0.285997,2.020275014587104,0.505068753646776
1024,100,4,5,0.44107140000000006,0.904308,2.0502530882755035,0.5125632720688759
1024,100,8,3,0.1230204,0.285997,2.324793286316741,0.29059916078959264
1024,100,8,5,0.27706200000000003,0.904308,3.2639192671676374,0.40798990839595467
1024,500,1,3,1.311827,1.311827,1.0,1.0
1024,500,1,5,4.334366666666667,4.334366666666667,1.0,1.0
1024,500,2,3,1.0651454,1.311827,1.2315942968912976,0.6157971484456488
1024,500,2,5,2.5773652,4.334366666666667,1.6817045045330272,0.8408522522665136
1024,500,4,3,0.6874538,1.311827,1.9082402337437077,0.4770600584359269
1024,500,4,5,2.113492,4.334366666666667,2.050808172761793,0.5127020431904482
1024,500,8,3,0.6106132,1.311827,2.148376418983409,0.26854705237292614
1024,500,8,5,1.364274,4.334366666666667,3.1770499669909906,0.39713124587387383
1024,1000,1,3,2.6114068,2.6114068,1.0,1.0
1024,1000,1,5,8.755497333333333,8.755497333333333,1.0,1.0
1024,1000,2,3,2.1158045999999997,2.6114068,1.2342381711430255,0.6171190855715127
1024,1000,2,5,5.3305346,8.755497333333333,1.642517681684935,0.8212588408424675
1024,1000,4,3,1.3906152,2.6114068,1.877878797815528,0.469469699453882
1024,1000,4,5,4.643328599999999,8.755497333333333,1.8856079523067426,0.47140198807668565
1024,1000,8,3,1.2275411999999999,2.6114068,2.1273475790466345,0.2659184473808293
1024,1000,8,5,2.7243488,8.755497333333333,3.2137945527875624,0.4017243190984453
2048,100,1,3,1.0919744,1.0919744,1.0,1.0
2048,100,1,5,3.5381929999999997,3.5381929999999997,1.0,1.0
2048,100,2,3,0.9394727999999999,1.0919744,1.1623267858313728,0.5811633929156864
2048,100,2,5,2.2321478,3.5381929999999997,1.5851069539391611,0.7925534769695806
2048,100,4,3,0.6312166,1.0919744,1.7299519689437826,0.43248799223594564
2048,100,4,5,1.3730982,3.5381929999999997,2.5767953085948254,0.6441988271487064
2048,100,8,3,0.48502220000000007,1.0919744,2.2513905549065587,0.28142381936331984
2048,100,8,5,1.2026822,3.5381929999999997,2.941918488525065,0.36773981106563314
2048,500,1,3,5.299037,5.299037,1.0,1.0
2048,500,1,5,17.461015333333332,17.461015333333332,1.0,1.0
2048,500,2,3,4.6623016,5.299037,1.1365710446531387,0.5682855223265694
2048,500,2,5,11.009047,17.461015333333332,1.5860605675798578,0.7930302837899289
2048,500,4,3,3.3310451999999997,5.299037,1.5908030908736996,0.3977007727184249
2048,500,4,5,7.1276192,17.461015333333332,2.4497682667072525,0.6124420666768131
2048,500,8,3,2.392837,5.299037,2.2145415671857296,0.2768176958982162
2048,500,8,5,6.1278394,17.461015333333332,2.8494570750880532,0.35618213438600665
2048,1000,1,3,10.628561999999999,10.628561999999999,1.0,1.0
2048,1000,1,5,35.12515966666667,35.12515966666667,1.0,1.0
2048,1000,2,3,9.4940798,10.628561999999999,1.1194936448711963,0.5597468224355981
2048,1000,2,5,23.028680400000002,35.12515966666667,1.5252788721088275,0.7626394360544138
2048,1000,4,3,6.9403678,10.628561999999999,1.5314119231548506,0.38285298078871266
2048,1000,4,5,16.7632816,35.12515966666667,2.095362978730052,0.523840744682513
2048,1000,8,3,4.9868404,10.628561999999999,2.1313218686525435,0.26641523358156793
2048,1000,8,5,16.003854,35.12515966666667,2.1947938082081144,0.2743492260260143
4096,100,1,3,4.3313276,4.3313276,1.0,1.0
4096,100,1,5,14.000871333333334,14.000871333333334,1.0,1.0
4096,100,2,3,3.667186,4.3313276,1.1811038763782364,0.5905519381891182
4096,100,2,5,10.2533072,14.000871333333334,1.3654980837142316,0.6827490418571158
4096,100,4,3,2.6459204,4.3313276,1.636983334797222,0.4092458336993055
4096,100,4,5,8.1768738,14.000871333333334,1.712252344329117,0.4280630860822793
4096,100,8,3,1.9956922,4.3313276,2.170338492078087,0.27129231150976085
4096,100,8,5,5.709201999999999,14.000871333333334,2.4523342024565493,0.30654177530706866
4096,500,1,3,21.1982242,21.1982242,1.0,1.0
4096,500,1,5,70.14848333333333,70.14848333333333,1.0,1.0
4096,500,2,3,18.9996736,21.1982242,1.1157151773386254,0.5578575886693127
4096,500,2,5,54.9596594,70.14848333333333,1.276363137966123,0.6381815689830616
4096,500,4,3,14.6591758,21.1982242,1.4460720363282633,0.3615180090820658
4096,500,4,5,43.096529999999994,70.14848333333333,1.627706066667858,0.4069265166669645
4096,500,8,3,11.5095746,21.1982242,1.8417904168239196,0.23022380210298996
4096,500,8,5,29.133039000000004,70.14848333333333,2.4078670039652685,0.30098337549565857
4096,1000,1,3,42.674885800000006,42.674885800000006,1.0,1.0
4096,1000,1,5,141.555126,141.555126,1.0,1.0
4096,1000,2,3,41.491311,42.674885800000006,1.0285258472551038,0.5142629236275519
4096,1000,2,5,108.3077552,141.555126,1.3069712850996287,0.6534856425498143
4096,1000,4,3,32.3727374,42.674885800000006,1.3182353185863116,0.3295588296465779
4096,1000,4,5,85.1460776,141.555126,1.6624973221314896,0.4156243305328724
4096,1000,8,3,24.970416399999998,42.674885800000006,1.7090177879452586,0.21362722349315733
4096,1000,8,5,57.672119599999995,141.555126,2.454481073034812,0.3068101341293515
