Resolucao,Kernel,Iteracoes,Processos,Tempo
4096,3,1000,4,20.438076
4096,3,1000,8,16.192642
4096,3,1000,2,34.532025
4096,3,1000,4,27.074418
4096,3,1000,8,21.529166
4096,3,1000,2,42.044925
4096,3,1000,4,32.857547
4096,3,1000,8,24.096229
4096,3,1000,2,46.085616
4096,3,1000,4,39.076802
4096,3,1000,8,29.426781
4096,3,1000,2,51.083058
4096,3,1000,4,42.416844
4096,3,1000,8,33.607264
512,5,100,1,0.224558
512,5,100,1,0.22341
512,5,100,1,0.22202
512,5,500,1,1.113534
512,5,500,1,1.07324
512,5,500,1,1.061827
512,5,1000,1,2.162188
512,5,1000,1,2.250047
512,5,1000,1,2.294602
1024,5,100,1,0.878921
1024,5,100,1,0.862704
1024,5,100,1,0.971299
1024,5,500,1,4.300931
1024,5,500,1,4.314342
1024,5,500,1,4.387827
1024,5,1000,1,8.902099
1024,5,1000,1,8.453648
1024,5,1000,1,8.910745
2048,5,100,1,3.533568
2048,5,100,1,3.53374
2048,5,100,1,3.547271
2048,5,500,1,17.478046
2048,5,500,1,17.177659
2048,5,500,1,17.727341
2048,5,1000,1,35.461722
2048,5,1000,1,34.600192
2048,5,1000,1,35.313565
4096,5,100,1,13.950549
4096,5,100,1,14.021782
4096,5,100,1,14.030283
4096,5,500,1,69.575859
4096,5,500,1,71.035737
4096,5,500,1,69.833854
4096,5,1000,1,139.509564
4096,5,1000,1,141.923185
4096,5,1000,1,143.232629
512,5,100,2,0.139606
512,5,100,4,0.094024
512,5,100,8,0.087556
512,5,500,2,0.651458
512,5,500,4,0.405128
512,5,500,8,0.395222
512,5,1000,2,1.297576
512,5,1000,4,0.791661
512,5,1000,8,0.733606
1024,5,100,2,0.525460
1024,5,100,4,0.410657
1024,5,100,8,0.273019
1024,5,500,2,2.523735
1024,5,500,4,2.059410
1024,5,500,8,1.364884
1024,5,1000,2,5.280480
1024,5,1000,4,4.382984
1024,5,1000,8,2.721975
2048,5,100,2,2.253685
2048,5,100,4,1.364312
2048,5,100,8,1.147396
2048,5,500,2,10.962293
2048,5,500,4,6.902208
2048,5,500,8,5.921864
2048,5,1000,2,22.344840
2048,5,1000,4,14.370303
2048,5,1000,8,13.899609
4096,5,100,2,9.311275
4096,5,100,4,6.809264
4096,5,100,8,5.090390
4096,5,500,2,54.436875
4096,5,500,4,44.675742
4096,5,500,8,30.162358
4096,5,1000,2,115.281523
4096,5,1000,4,91.810531
4096,5,1000,8,60.029700
512,5,100,2,0.143276
512,5,100,4,0.090324
512,5,100,8,0.087276
512,5,500,2,0.663002
512,5,500,4,0.415583
512,5,500,8,0.371250
512,5,1000,2,1.311624
512,5,1000,4,0.797265
512,5,1000,8,0.730436
1024,5,100,2,0.547400
1024,5,100,4,0.542436
1024,5,100,8,0.274554
1024,5,500,2,2.594163
1024,5,500,4,2.102188
1024,5,500,8,1.369030
1024,5,1000,2,5.404194
1024,5,1000,4,4.361770
1024,5,1000,8,2.710143
2048,5,100,2,2.259067
2048,5,100,4,1.368116
2048,5,100,8,1.154691
2048,5,500,2,11.187779
2048,5,500,4,6.978243
2048,5,500,8,5.930399
2048,5,1000,2,22.993278
2048,5,1000,4,17.862454
2048,5,1000,8,18.342361
4096,5,100,2,11.528878
4096,5,100,4,10.130776
4096,5,100,8,6.632789
4096,5,500,2,61.190352
4096,5,500,4,46.884316
4096,5,500,8,30.038597
4096,5,1000,2,106.131861
4096,5,1000,4,84.067457
4096,5,1000,8,56.618269
512,5,100,2,0.138412
512,5,100,4,0.093205
512,5,100,8,0.087267
512,5,500,2,0.665004
512,5,500,4,0.405261
512,5,500,8,0.373033
512,5,1000,2,1.338518
512,5,1000,4,0.794833
512,5,1000,8,0.735925
1024,5,100,2,0.538635
1024,5,100,4,0.410685
1024,5,100,8,0.280040
1024,5,500,2,2.540129
1024,5,500,4,2.058283
1024,5,500,8,1.357246
1024,5,1000,2,5.371326
1024,5,1000,4,4.270682
1024,5,1000,8,2.707829
2048,5,100,2,2.216208
2048,5,100,4,1.388211
2048,5,100,8,1.156818
2048,5,500,2,10.930916
2048,5,500,4,6.929558
2048,5,500,8,5.798196
2048,5,1000,2,22.332513
2048,5,1000,4,15.240824
2048,5,1000,8,14.332027
4096,5,100,2,9.612411
4096,5,100,4,7.183275
4096,5,100,8,5.197431
4096,5,500,2,51.659891
4096,5,500,4,40.801789
4096,5,500,8,28.708930
4096,5,1000,2,110.674469
4096,5,1000,4,90.299771
4096,5,1000,8,59.933753
512,5,100,2,0.141641
512,5,100,4,0.093815
512,5,100,8,0.088894
512,5,500,2,0.666825
512,5,500,4,0.407430
512,5,500,8,0.377896
512,5,1000,2,1.312001
512,5,1000,4,0.861033
512,5,1000,8,0.741800
1024,5,100,2,0.521250
1024,5,100,4,0.415833
1024,5,100,8,0.282935
1024,5,500,2,2.551139
1024,5,500,4,2.091029
1024,5,500,8,1.372673
1024,5,1000,2,5.285879
1024,5,1000,4,4.314181
1024,5,1000,8,2.772318
2048,5,100,2,2.263488
2048,5,100,4,1.364897
2048,5,100,8,1.167848
2048,5,500,2,11.173398
2048,5,500,4,7.009498
2048,5,500,8,6.096934
2048,5,1000,2,22.795176
2048,5,1000,4,16.627439
2048,5,1000,8,16.229383
4096,5,100,2,10.210572
4096,5,100,4,8.264021
4096,5,100,8,5.918387
4096,5,500,2,56.124923
4096,5,500,4,43.522535
4096,5,500,8,29.661897
4096,5,1000,2,105.636435
4096,5,1000,4,77.495400
4096,5,1000,8,53.086933
512,5,100,2,0.140875
512,5,100,4,0.094393
512,5,100,8,0.086560
512,5,500,2,0.651123
512,5,500,4,0.420332
512,5,500,8,0.371438
512,5,1000,2,1.394052
512,5,1000,4,0.896989
512,5,1000,8,0.726322
1024,5,100,2,0.575899
1024,5,100,4,0.425746
1024,5,100,8,0.274762
1024,5,500,2,2.677660
1024,5,500,4,2.256550
1024,5,500,8,1.357537
1024,5,1000,2,5.310794
1024,5,1000,4,5.887026
1024,5,1000,8,2.709479
2048,5,100,2,2.168291
2048,5,100,4,1.379955
2048,5,100,8,1.386658
2048,5,500,2,10.790849
2048,5,500,4,7.818589
2048,5,500,8,6.891804
2048,5,1000,2,24.677595
2048,5,1000,4,19.715388
2048,5,1000,8,17.215890
4096,5,100,2,10.603400
4096,5,100,4,8.497033
4096,5,100,8,5.707013
4096,5,500,2,51.386256
4096,5,500,4,39.598268
4096,5,500,8,27.093413
4096,5,1000,2,103.814488
4096,5,1000,4,82.057229
4096,5,1000,8,58.691943
